order_number,line_item,order_date,customerkey,storekey,productkey,quantity,currency_code,gender,customers_city,customers_state,customers_country,customers_continent,age,product_name,brand,color,_unit_cost_usd_,_unit_price_usd_,subcategorykey,subcategory,categorykey,category,store_country,store_state,square_meters,open_date,exchange,total_price
366000,1,2016-01-01,265598,10,1304,1,CAD,Male,London,Ontario,Canada,North America,52,Contoso Lens Adapter M450 White,Contoso,White,31.27,68,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,Canada,Nunavut,1210,2015-04-04,1.3884,68
366001,1,2016-01-01,1269051,0,1048,2,USD,Male,Auberry,California,United States,North America,28,A. Datum SLR Camera X136 Silver,A. Datum,Silver,141.47,427,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,0,2010-01-01,1,854
366001,2,2016-01-01,1269051,0,2007,1,USD,Male,Auberry,California,United States,North America,28,Fabrikam Microwave 1.5CuFt X1100 Black,Fabrikam,Black,220.64,665.94,803,Microwaves,8,Home Appliances,Online,Online,0,2010-01-01,1,665.94
366002,1,2016-01-01,266019,0,1106,7,CAD,Female,Red Deer,Alberta,Canada,North America,61,Contoso SLR Camera M146 Orange,Contoso,Orange,148.08,322,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,0,2010-01-01,1.3884,2254
366002,2,2016-01-01,266019,0,373,1,CAD,Female,Red Deer,Alberta,Canada,North America,61,Adventure Works Laptop8.9 E0890 White,Adventure Works,White,166.2,326,301,Laptops,3,Computers,Online,Online,0,2010-01-01,1.3884,326
366002,3,2016-01-01,266019,0,1080,4,CAD,Female,Red Deer,Alberta,Canada,North America,61,Contoso SLR Camera X143 Silver,Contoso,Silver,214.03,646,402,Digital SLR Cameras,4,Cameras and camcorders,Online,Online,0,2010-01-01,1.3884,2584
366004,1,2016-01-01,1107461,38,163,6,GBP,Male,BURSCOUGH BRIDGE,West Lancashire,United Kingdom,Europe,44,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,White,527.53,1592.2,201,Televisions,2,TV and Video,United Kingdom,Belfast,1800,2015-04-04,0.6742,9553.2
366004,2,2016-01-01,1107461,38,1529,2,GBP,Male,BURSCOUGH BRIDGE,West Lancashire,United Kingdom,Europe,44,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Black,117.27,255,504,Smart phones & PDAs,5,Cell phones,United Kingdom,Belfast,1800,2015-04-04,0.6742,510
366005,1,2016-01-01,844003,33,421,4,EUR,Male,Leeuwarden,Friesland,Netherlands,Europe,28,Adventure Works Desktop PC3.0 MS300 Silver,Adventure Works,Silver,215.68,469,303,Desktops,3,Computers,Netherlands,Friesland,1540,2015-12-09,0.9185,1876
366007,1,2016-01-01,2035771,43,1617,1,USD,Female,Winchester,Virginia,United States,North America,79,Contoso DVD Player M110 Silver,Contoso,Silver,26.67,57.99,602,Movie DVD,6,"Music, Movies and Audio Books",United States,Alaska,1190,2015-01-01,1,57.99
